resourceKey,name,title,description
care-scene-1,小明,好朋友的玩具坏了,识别同伴失去心爱物品时的伤感，理解意外损坏带来的沮丧。通过语言安慰或协助修理来表达关怀，锻炼社交共情能力。
care-scene-10,小明,好朋友回答错问题被笑话,识别同伴在公共场合受挫时的羞愧感，理解被嘲笑所带来的社交压力。通过言语维护或私下安慰，帮助对方缓解难堪。
care-scene-11,小华,同学忘带午餐饿肚子,识别同伴忍受饥饿时的困窘，理解忘带物品引发的焦虑。通过分享食物或寻求老师帮助，展现同情心与利他精神。
care-scene-12,小天,弟弟的气球爆炸了,识别幼童面对突发声响的惊吓，以及失去玩具时的哭闹。通过拥抱、转移注意力或补偿新玩具，培养对弱小者的保护意识。
care-scene-13,小明,好朋友上台前紧张发抖,识别同伴面对他人评价时的焦虑与恐惧，理解其生理应激反应。通过握手、引导深呼吸或给予肯定，帮助同伴缓解压力。
care-scene-14,小华,同学的美术作业被恶意破坏,识别同伴劳动成果受损后的愤怒与委屈，理解其遭遇不公时的心理落差。通过共同维权或协助重画，给予坚定的情感支持。
care-scene-15,小杰,走廊里书本撒了一地,识别同伴面对突发状况时的手足无措，理解其渴望被帮助的心理需求。通过主动弯腰帮忙捡拾并整理书本，展现协作精神与善意。
care-scene-16,小华,上课不小心叫老师“妈妈”,识别同伴因口误引发的极度尴尬与羞怯，理解社交失误带来的心理压力。通过不嘲笑、自然转移话题等方式，保护他人的尊严。
care-scene-17,小明,同学的鹦鹉生病了,识别同伴面对宠物生病时的担忧与无助，理解人与动物之间的情感连接。通过言语安抚或分享养护知识，给予情感上的慰藉。
care-scene-18,小华,害怕去医务室涂药,识别同伴对疼痛及医疗环境的抗拒与胆怯，理解负面预期带来的心理压力。通过陪伴就医或鼓励其勇敢面对，提供心理支持。
care-scene-19,小明,借给别人的书被撕破了,识别同伴因过失产生的内疚与不安，理解其弄坏物品后的复杂心情。通过表达宽容或商讨修补方案，练习情绪克制与包容。
care-scene-2,小华,同学跑步摔倒了,识别同伴意外受伤后的疼痛与惊恐，理解身体不适引发的负面情绪。通过主动搀扶或寻求医护人员帮助，展现救助意识与体恤之心。
care-scene-20,小明,没被邀请去生日派对,识别同伴被排挤或忽视时的落寞感，理解社交缺失引发的自我怀疑。通过主动陪伴或组织小活动，温暖并治愈对方的心灵。
care-scene-21,小明,好朋友要转学离开了,识别同伴面临离别时的忧伤情绪，理解长期陪伴的珍贵。通过交换礼物或深情告别，表达对友谊的珍视与真切关怀。
care-scene-22,小华,同桌被老师误解作弊,识别同伴遭遇不实指控时的愤懑与孤立感，理解失去公正的痛苦。通过表达信任或协助寻找证据，给予充满正义感的情感声援。
care-scene-23,小华,教室突然停电一片漆黑,识别环境突变引发的集体恐慌与不安全感，理解置身黑暗中的焦虑。通过言语安抚或紧握同伴的手，共同克服对未知的恐惧。
care-scene-24,小杰,安静时肚子发出咕噜叫声,识别同伴因生理反应引发的局促与难为情，理解其对他人目光的敏感。通过假装没听见或用幽默化解，缓解对方的社交压力。
care-scene-25,小杰,辛苦种的小番茄枯死了,识别同伴付出努力后希望落空的悲伤，理解其面对生命凋零的感触。通过共同分析原因或鼓励重新播种，给予精神上的支持。
care-scene-26,小明,画的画被同学嘲笑难看,识别同伴创作受贬低后的沮丧与自卑，理解言语攻击带来的伤害。通过发现画作的优点并给予真诚夸奖，帮助同伴重建自信。
care-scene-27,小雪,妹妹晚上怕黑不敢睡觉,识别幼童对未知的恐惧，理解黑暗环境引发的焦虑心理。通过讲故事、陪伴或打开小夜灯，展现作为兄长的责任感与关怀。
care-scene-28,小杰,在食堂不小心打翻了餐盘,识别同伴在公共场合失误时的狼狈与不安，理解被众人注视带来的压力。通过递纸巾、协助清理或帮忙重新打饭，提供及时的援助。
care-scene-29,小明,好朋友在街上被父母大声训斥,识别同伴当众受责备时的难堪与自尊受挫，理解家庭冲突引发的恐惧。通过事后宽慰或假装没看见，小心保护其社交尊严。
care-scene-3,妈妈,妈妈下班回家很累,识别长辈经历高强度工作后的疲惫感，理解成人世界的辛劳与压力。通过主动倒水、按摩或保持安静，表达体贴与孝敬之心。
care-scene-30,小明,接力赛掉棒导致班级输了,识别同伴因失误产生的深深自责与内疚，理解集体荣誉受损带来的巨大压力。通过“不怪你”等言语安慰，给予理解与情感包容。
care-scene-31,小杰,同学在教室里突然呕吐,识别同伴生病时的虚弱与难堪，克服对污物的本能回避。通过递纸巾、倒热水或及时告知老师，展现出高水平的同理心与关爱能力。
care-scene-32,小明,想加入游戏被拒绝,识别同伴遭遇社交排斥时的失落与孤立感，理解其渴望融入群体的心理需求。通过主动发出邀请或协调游戏角色，传递接纳与关怀。
care-scene-33,小明,玩桌游输了气得掀桌子,识别同伴因好胜心受挫引发的情绪失控，理解其挫折承受力的不足。通过冷静安抚或提议中场休息，引导对方逐渐平复心情。
care-scene-34,小轩,不小心打碎了老师的花盆,识别同伴犯错后的惶恐与害怕情绪，理解其面对权威评价时的担忧。通过共同承担责任或商议认错方案，给予坚实的支持。
care-scene-35,小华,唱歌时严重破音被笑话,识别同伴表演失误后的尴尬与委屈，理解负面社交评价带来的打击。通过真诚鼓励或分享自身类似的失败经历，帮助其缓解心理压力。
care-scene-36,小明,心爱的游戏存档被不小心删了,识别同伴心血付诸东流后的崩溃感，理解个人爱好的重要性。通过耐心倾听抱怨或协助重新通关，表达深深的理解与共情。
care-scene-37,小明,在操场被高年级同学围观出丑,识别同伴因表现不佳而产生的自卑感，理解处于弱势时的局促不安。通过挺身而出或带其离开现场，展现朋友间的义气与关怀。
care-scene-38,小杰,秋游时在人群中走散,识别同伴迷路时的极度惊慌与无助，理解脱离集体带来的恐惧感。通过紧紧陪伴、言语安抚并积极寻求大人帮助，助其稳定情绪。
care-scene-39,小杰,被同伴诬陷弄坏了道具,识别同伴被冤枉时的愤怒与心寒，理解遭遇背叛的心理创伤。通过表达坚定的信任并协助寻找证据，维护友谊中的公平与正义。
care-scene-4,小华,好朋友比赛输了,识别同伴努力后遭遇失败的挫败感，理解其渴望获胜的心理预期。通过拍拍肩膀、递水或肯定其出色表现，提供温暖的情感支持。
care-scene-40,小华,父母早上吵了很凶的架,识别家庭冲突给同伴带来的焦虑与不安全感，理解其内心的忐忑。通过耐心倾听或提议玩游戏来转移注意力，缓解其悲伤情绪。
care-scene-41,爸爸,爸爸辛苦做的饭烧焦了,识别长辈辛苦付出却未获成功时的尴尬与懊恼，理解其爱心劳动的价值。通过称赞其他菜肴或用幽默化解气氛，表达对家人的包容与爱。
care-scene-42,小明,好朋友来家里玩打碎了杯子,识别朋友做客时不慎犯错的局促与不安，理解其面对社交礼仪时的紧张感。通过“没关系”等贴心宽慰，迅速化解尴尬气氛。
care-scene-43,小雪,妹妹半夜做噩梦吓哭了,识别幼童因潜意识恐惧引发的惊恐，理解其无法区分梦境与现实的无助。通过温柔拍抚、开灯并陪伴入睡，给予充足的安全感。
care-scene-44,哥哥,哥哥的房间被亲戚小孩弄乱,识别家人私人空间被侵犯后的恼火与无奈，理解其物权意识。通过协助整理房间或共同制定规则，表达对家人的理解与支持。
care-scene-45,小明,周末去游乐园因为暴雨取消,识别同伴满心期待落空后的沮丧情绪，理解不可抗力带来的无奈。通过提议有趣的室内替代活动，抚平对方的失落感。
care-scene-46,爷爷,爷爷忘记买答应好的零食,识别长辈因小疏忽而产生的内疚，理解老年人记忆衰退的无奈。通过主动表示不介意或分享其他食物，表达对长辈的体贴与敬爱。
care-scene-47,妈妈,妈妈切菜时不小心切到手,识别家人意外受伤时的疼痛感，理解突发状况带来的家庭紧张氛围。通过主动寻找创可贴或递送纸巾，展现对长辈的体贴与照顾。
care-scene-48,爸爸,爸爸工作文件丢失大发脾气,识别长辈遭遇职业压力时的崩溃情绪，理解其发脾气背后的深深挫败感。通过保持安静、递上温水或适时避开冲突，以成熟的方式表达关爱。
care-scene-49,表弟,表弟在家族聚餐时打翻果汁,识别年幼孩子在长辈面前犯错的羞愧感，理解其失误后的巨大心理压力。通过主动递纸巾并协助清理，帮其巧妙化解社交危机。
care-scene-5,小明,同学忘带了重要的作业,识别同伴因疏忽产生的慌乱与焦虑，理解其面对潜在惩罚的畏惧心理。通过言语安抚或协助其向老师说明情况，展现同理心与社交援护能力。
care-scene-50,小明,好朋友留宿时想家哭了,识别同伴在陌生环境中的分离焦虑，理解其对安全感的强烈渴求。通过分享心爱的玩具或温柔的言语陪伴，缓解其思乡之情。
care-scene-51,奶奶,奶奶弄丢了最珍贵的项链,识别长辈失去充满回忆之物时的悲恸，理解老年人对旧物的情感珍视。通过耐心的长时间陪同寻找，表达对长辈的深厚情感关怀。
care-scene-52,小华,牙齿上沾了很大一片菜叶,识别同伴形象受损可能引发的潜在尴尬，理解保护他人隐私的社交艺术。通过私下小声告知或手势暗示，表达细致且体贴的关心。
care-scene-53,哥哥,手工作品被小狗咬坏了,识别同伴创意心血被意外摧毁的崩溃情绪，理解其面对无心之过的无奈。通过主动安慰或协助共同修补，减轻对方的情感伤害。
care-scene-54,小华,同桌极度害怕桌子上的大虫子,识别同伴面对特定恐惧源时的生理性惊恐，理解个体对恐惧感知的差异。通过勇敢地赶走虫子或拉开同伴，提供实际的安全保护。
care-scene-55,小明,落选了期待已久的校队,识别同伴遭遇竞争失败后的失落与自卑，理解其对自我能力的怀疑心理。通过肯定其身上的闪光点并鼓励再次尝试，为其重新注入信心。
care-scene-56,爸爸,爸爸在公园不小心滑倒出丑,识别长辈在公共场合意外失态后的窘迫与痛楚，理解成年人对自尊心的维护需求。通过立马上前搀扶而非嘲笑，展现子女的成熟与懂事。
care-scene-57,小明,接水时被别人恶意插队,识别同伴遭受不公正待遇时的愤怒与无助，理解其面对秩序被破坏的焦虑。通过仗义执言或坚决陪同排队，表达坚定的情感支持。
care-scene-58,小明,走玻璃栈道吓得不敢动,识别同伴面对恐高情境时的极度焦虑，理解其生理上不受控制的僵直反应。通过牵手陪伴或言语鼓励，帮助对方逐步克服恐惧。
care-scene-59,妈妈,妈妈生病发高烧躺在床上,识别家人因身体虚弱产生的不适感，理解其生病时的心理依赖。通过覆盖毛巾、端送温水等实际照顾行为，展现家庭成员间的深深关爱。
care-scene-6,小明,同桌不小心把水洒在裤子上,识别同伴因形象受损产生的狼狈感，理解其害怕被注视的社交压力。通过递送干纸巾、帮忙遮挡视线等方式，维护同伴的体面与尊严。
care-scene-60,小华,同桌穿了不同颜色的两只袜子,识别同伴因粗心造成的社交漏洞，理解其可能引发的尴尬预设。通过私下友善提醒或以幽默方式打圆场，巧妙化解对方的窘迫情绪。
care-scene-61,小华,同桌突然刺耳的广播声,识别。
care-scene-62,小杰,习惯的常规被打破,识别。
care-scene-63,小明,好朋友分享特殊兴趣没人理睬,识别。
care-scene-64,小华,同桌动作慢被全组人催促,识别。
care-scene-7,小杰,好朋友搭的积木被推倒了,识别同伴努力成果瞬间化为乌有的惊愕与伤心，理解其劳动价值被否定的痛苦。通过主动协助重建积木，展示坚定且持久的支持。
care-scene-8,小雪,妹妹害怕打雷闪电,识别幼童面对极端自然现象的本能恐惧，理解其感官过载带来的心理压力。通过捂住耳朵、紧紧拥抱并给予简单的科学解释，消解其内心的不安。
care-scene-9,小华,同学弄丢了心爱的钢笔,识别同伴丢失心爱之物产生的懊悔与忧伤，理解该物品承载的情感价值。通过积极协助寻找或主动借出文具，表达对同伴的深深体恤。
