序号,箱号,套装类别,产品名称,教育目标与功能描述 ,能力标签 
1,1,启蒙篇,视觉诱导-光纤棒,晃动发光棒吸引孩子目光，教他眼睛跟着光走。这是让孩子学会“看人”的第一步。,共同注意力、视觉追踪
2,1,启蒙篇,视觉诱导-多彩球,发光的球在眼前滚过，吸引孩子去追视。训练眼神不仅要盯着看，还要能灵活地转动寻找。,视觉搜寻、视觉广度
3,2,启蒙篇,感官调节-耳罩,戴上它隔绝刺耳噪音，保护听觉敏感的孩子。防止因为太吵而发脾气或逃跑，安心待在人群里。,感官调节、环境适应
4,2,启蒙篇,感官调节-冷静瓶,看着瓶子里的沙漏慢慢流下，心情也跟着平静。教孩子发脾气时盯着它看，学会自己冷静。,情绪调节、冲动延迟
5,3,启蒙篇,情绪认知-触觉解压球,四个球摸起来手感都不一样。捏一捏，感受软硬变化，帮助孩子通过触觉来分辨和发泄情绪。,触觉感知、感官调节
6,3,启蒙篇,情绪认知-木质互动组,像拼图一样拼出笑脸或哭脸。让孩子动手摸摸眼睛嘴巴的形状，明白“开心”长什么样。,精细动作、情绪初认
7,3,启蒙篇,情绪认知-悦知互动组,转动方块就能快速变脸。训练孩子一眼看懂别人的表情变化，知道对方是高兴还是生气。,视动协调、情绪解码
8,4,启蒙篇,基础沟通-主动沟通卡,卡片上画着常用的东西，想要什么就拿卡片换。帮不会说话的孩子主动表达需求，减少哭闹。,词汇积累、主动沟通
9,4,启蒙篇,基础沟通-社交沟通场景组合,一步步教孩子怎么和人打交道。从被人叫名字有反应，到主动去找小朋友玩，全都有图示。,社交脚本、阶梯进阶
10,5,启蒙篇,肢体模仿-协作器,两个人拉着弹力带一起动，你进我退。必须配合对方的节奏才能玩，训练身体默契和合作。,肢体协调、非语言沟通
11,5,启蒙篇,肢体模仿-趣动组合套,穿上装备互相追逐，在奔跑中学会遵守游戏规则。明白玩游戏要有分寸，不能撞人或耍赖。,身体边界、规则理解
12,5,启蒙篇,肢体模仿-指引卡,看图做什么动作，或者听指令做动作。训练孩子听懂“举手、抬腿”这些话，并马上照着做。,指令执行、动作模仿
13,6,互动篇,规则建立-互动灯,红灯停绿灯行，把等待变得像游戏一样。解决孩子没耐心、不愿排队或轮流玩的难题。,活动转换、等待训练
14,6,互动篇,规则建立-强化收纳罐,表现好就奖励一个币，攒够了换礼物。让孩子学会忍耐当下的诱惑，为了更大的目标去努力。,代币强化、延迟满足
15,7,互动篇,规则建立-身体语言组合卡,看图猜猜这个动作是什么意思。教孩子读懂别人的手势和姿态，明白没说出口的潜台词。,线索捕捉、意图推断
16,7,互动篇,规则建立-声音标尺,把音量大小画在尺子上。让孩子一眼看懂在图书馆要小声，在操场可以大声，学会控制嗓门。,音量调节、情境适应
17,8,互动篇,肢体互动-形言互动教具,一个比划一个猜，不许说话。逼着孩子用肢体动作去表达意思，学会站在别人的角度想办法。,信息传递、观点采择
18,9,互动篇,肢体互动-稳取平衡组,小心地抽走木棍，不能让球掉下来。大家轮流玩，训练孩子耐心等待别人操作，控制冲动。,策略博弈、冲动控制
19,10,互动篇,肢体互动-植序插拼组,把叶子插在树干上，比比谁插得稳。适合几个孩子坐在一起各玩各的，互不干扰但有陪伴。,空间建构、平行游戏
20,11,互动篇,策略游戏-速应协作游戏套,眼疾手快抢答题，紧张又刺激。让孩子习惯这种竞争氛围，输了不哭闹，赢了不骄傲。,视觉扫描、抗挫训练
21,12,互动篇,策略游戏-追应互动游戏组,简单的猫抓老鼠游戏，轮流当猫和老鼠。让孩子明白玩游戏要守规矩，还要学会接受输赢。,心理韧性、基础博弈
22,13,互动篇,策略游戏-棋盘组合,经典的下棋游戏，大家坐下来慢慢玩。能让孩子坐得住，学会思考下一步怎么走才能赢。,回合制社交、输赢观
23,14,互动篇,精细博弈-织创桌面协作组,比赛谁先把图形穿好线。在有干扰的比赛环境里，锻炼孩子专心致志做手头的事，不受影响。,抗干扰专注、图形配对
24,15,互动篇,精细博弈-叠叠高,积木越叠越高，随时会倒。即使倒了也要鼓励孩子重新来过，专门锻炼抗挫折能力和手稳。,手部精细、挫折耐受
25,16,互动篇,精细博弈-半圆平衡,在摇晃的半圆上叠积木，更难更刺激。需要两只手配合好，还得动脑筋想办法保持平衡。,双手协同、问题解决
26,17,互动篇,反应游戏-匹配游戏组,像侦探一样找线索，排除错误的找到正确的。训练孩子的逻辑推理能力，学会动脑筋。,逻辑排除、推理判断
27,18,互动篇,反应游戏-数字沙包,大家一起扔沙包，边扔边认数字。把枯燥的学习变成集体运动，让孩子在互动中开心大叫。,团体互动、粗大动作
28,19,互动篇,反应游戏-专注力训练组,听到什么颜色敲什么颜色，反应要快。训练孩子控制住手，不乱敲乱打，听清楚指令再动。,冲动抑制、选择性注意
29,20,合作篇,社交距离-传声筒,两人拉开距离用传声筒说话。为了听清对方说什么，孩子必须学会提问和核对信息。,信息核对、提问技巧
30,21,合作篇,社交距离-脚垫丈量,站在脚垫上说话，直观地感受“太近了”或“太远了”。教孩子掌握和人说话的合适距离。,音量控制、远距互动
31,21,合作篇,时间管理-可视化计时器,红色圆盘慢慢消失，时间看得见。告诉孩子还有多久结束，缓解他们对未知的焦虑感。,焦虑缓解、常规建立
32,22,合作篇,共同建构-协作创构积木组,两个人合伙搭一个作品，必须商量着来。逼着孩子开口和同伴沟通：“你拿这个，我拿那个”。,社交协商、团队协作
33,23,合作篇,共同建构-互动桌游,两人拉着绳子控制球进洞，必须动作一致。训练孩子时刻关注同伴的动作，学会配合。,物理协作、动作预测
34,24,合作篇,角色扮演-冰淇淋餐车,假装卖冰淇淋，练习买卖对话。让孩子在游戏里演练怎么打招呼、怎么排队、怎么付钱。,假装游戏、社会脚本
35,25,合作篇,角色扮演-家园,摆弄农场里的小动物和人物，编故事玩。锻炼孩子讲故事的能力，想象小动物们在干什么。,叙事表达、心智解读
36,26,合作篇,竞争合作-趣食协作训练套,按下按钮青蛙就吃豆子，比比谁吃得多。简单的手指运动，让孩子享受单纯的比赛乐趣。,指尖竞技、互动愉悦
37,27,合作篇,竞争合作-认知互动教具,沙漏在计时，要赶紧找到配对的卡片。全方位挑战眼力和脑力，锻炼快速反应和分类。,记忆提取、视觉搜索
38,28,合作篇,肢体协作-集体协作绳具,大家抓着同一根绳子一起走，感受集体的力量。让孤僻的孩子融入集体，步伐一致。,团体向心力、节奏同步
39,28,合作篇,肢体协作-四人协作器,四个人互相抛接球，必须盯着球看。训练眼神追随，并时刻准备回应同伴的传球。,目光追踪、社交互动
40,29,融合篇,心智解读-心理画像,在透明板上画出心里想的样子。帮说不出来的孩子把情绪画出来，让老师看懂他的内心。,情绪外化、具象表达
41,29,融合篇,心智解读-归因推理,转转盘分析是“故意的”还是“不小心”。教孩子别总觉得别人针对自己，减少误会和冲突。,意图归因、偏执消退
42,29,融合篇,心智解读-视觉阻断屏风,挡住视线，猜猜对方看到了什么。教孩子明白：我看不到的东西，别人可能看得到。,观点采择、去自我中心
43,30,融合篇,心智解读-情绪认知教具,深入分析每种情绪是怎么来的，身体会有什么反应。帮孩子彻底搞懂情绪背后的原因。,情绪剖析、应对策略
44,30,融合篇,心智解读-场景学习教具组,模拟如果发生冲突该怎么办。像彩排一样演练解决方法，以后遇到真事就知道后果了。,冲突解决、后果预判
45,30,融合篇,情景模拟-生活主题教具组,模拟超市、医院等生活场景。引导孩子说出符合场景的话，学会得体地应答。,自发语言、语用学提升
46,31,融合篇,情景模拟-场景化学习教具组,翻翻卡片，练习在不同场合该说什么。万能的话术模板，帮孩子应对各种突发社交状况。,情境泛化、突发应变
47,32,融合篇,情景模拟-亲子互动场景教具组,快速判断图片是不是同一类。训练孩子脑子转得快，灵活地切换思维，不再钻牛角尖。,特征提取、选择性注意
48,33,融合篇,情景模拟-创作场景教具组,用磁力贴编森林故事，随便怎么贴都行。鼓励孩子发挥想象力，讲出属于自己的奇妙故事。,自创叙事、想象力建构
49,34,融合篇,情景模拟-进阶互动教具,教孩子怎么解释误会、怎么寻求帮助。提升自我保护意识，受委屈了知道怎么说。,社交沟通、自我倡导
50,34,融合篇,情景模拟-交流辅具,按键就能发出“我要上厕所”的声音。给没有口语的孩子一个嘴巴，让他们也能表达意愿。,AAC辅助、意愿赋能
53,35,训练卡,《社交小达人》训练卡,一套专业的测试题，看看孩子社交能力缺哪里。帮老师制定最适合孩子的教学计划。,基线评估、IEP依据
