领域,评估项目,观察与评估标准,参考年龄
手指灵活性,双手协调穿大孔珠子,观察儿童将大珠子逐一穿入粗线（孔径≥8mm），评估基础的手眼协调。,3岁
手指灵活性,精准投放（窄口瓶）,观察儿童以拇食指捏起珠子，准确投入窄口玻璃瓶（孔径约15mm）中。,3岁
手指灵活性,双手搓圆（彩泥）,观察儿童以双手掌心相对搓揉彩泥成光滑球状，评估手掌力量与协调。,3岁
手指灵活性,掌心压扁彩泥,观察儿童用手掌或拇指施力将彩泥压平，评估手部施力与控制。,3岁
手指灵活性,逐页翻书,观察儿童以拇指和食指捏住单页边缘翻阅图画书，不会一次翻起多页。,3岁
手指灵活性,拧开瓶盖,观察儿童以拇指及四指握住瓶盖，作逆时针旋转动作拧开。,3-4岁
手指灵活性,解开大纽扣,观察儿童运用拇指和食指配合，解开衣服上的大纽扣（直径≥15mm）。,4岁
手指灵活性,扣上大纽扣,观察儿童双手指尖配合，将纽扣穿过扣眼并拉出固定，评估双手精细协调。,4-5岁
手指灵活性,桌面搓长条（彩泥）,观察儿童用手掌在桌面上将彩泥搓成均匀的长条，评估手掌施力均匀度。,4岁
手指灵活性,穿珠（小孔）,观察儿童将小珠子穿入细线（孔径≤5mm），评估高级精细协调及视觉引导。,4-5岁
手指灵活性,拧螺丝入孔,观察儿童以拇、食、中指捏住螺丝，对准孔位后作顺时针旋转拧入。,4岁
手指灵活性,拉上拉链,观察儿童一手固定拉链底端，另一手捏住拉链头向上拉至顶端。,4岁
手指灵活性,手指分离动作（逐一伸屈）,观察儿童能逐一弯曲和伸展五根手指，如进行“点数手指”动作。,4岁
手指灵活性,手指对捏交替（对指）,观察儿童以拇指依次与其他四指指尖快速对捏接触，评估动作流畅度及速度。,5岁
手指灵活性,手指卷纸筒,观察儿童用手指灵活地将薄纸卷成圆筒状，评估手指协调性。,5岁
手指灵活性,手指捏塑造型（彩泥）,观察儿童用手指捏压彩泥，做出简单的平面或立体造型，评估手指精确控制力。,4-5岁
