resourceKey,origin,moduleCode,resourceType,name,description,previewDescription,repeatPlayHint
care-scene:care-scene-1,care-scene,emotional,care_scene,好朋友的玩具坏了,识别同伴失去爱物时的伤感，理解意外破损带来的沮丧，通过语言安慰或协助修理表达关怀，练习社交共情能力。,,
care-scene:care-scene-10,care-scene,emotional,care_scene,朋友回答错问题被笑话,识别同伴在公共场合受挫时的羞愧感，理解嘲笑带来的社交压力，通过言语维护或私下安慰缓解对方的难堪。,,
care-scene:care-scene-11,care-scene,emotional,care_scene,同学忘带午餐饿肚子,识别同伴生理匮乏时的困窘，理解漏带物品的焦虑，通过分享食物或寻求老师帮助展示同情心与利他分享行为。,,
care-scene:care-scene-12,care-scene,emotional,care_scene,弟弟的气球爆炸了,识别幼童面对突发声响的惊吓与失去玩具的哭闹，通过拥抱、转移注意力或补偿新玩具，练习对弱小的保护欲。,,
care-scene:care-scene-13,care-scene,emotional,care_scene,好朋友上台前紧张发抖,识别他人面对评价时的焦虑与恐惧，理解生理应激反应，通过握手、深呼吸引导或肯定性话语帮助同伴缓解压力。,,
care-scene:care-scene-14,care-scene,emotional,care_scene,同学的美术作业被恶意破坏,识别劳动成果受损后的愤怒与委屈，理解遭遇不公的情感落差，通过共同声讨或协助重画表达坚定的情感支持。,,
care-scene:care-scene-15,care-scene,emotional,care_scene,走廊里书本撒了一地,识别同伴在混乱突发状况下的手足无措，理解求助的心理需求，通过主动弯腰捡拾与整理书本展现协作与善意。,,
care-scene:care-scene-16,care-scene,emotional,care_scene,上课不小心叫老师“妈妈”,识别因口误引发的极度尴尬与羞怯情绪，理解社交失误带来的压力，通过不嘲笑、自然转移话题来保护他人尊严。,,
care-scene:care-scene-17,care-scene,emotional,care_scene,同学的仓鼠生病了,识别同伴对宠物生病的担忧与无助感，理解人与动物的情感连接，通过言语祈祷或分享养护知识表达情感慰藉。,,
care-scene:care-scene-18,care-scene,emotional,care_scene,害怕去医务室涂药,识别对疼痛或医疗环境的抗拒与胆怯，理解负面预期的心理压力，通过陪伴就医或描述勇敢行为来给予心理支撑。,,
care-scene:care-scene-19,care-scene,emotional,care_scene,借给别人的书被撕破了,识别同伴因失误产生的内疚与不安，理解物品损坏后的复杂心情，通过宽容表态或商讨修补方案，练习情绪克制。,,
care-scene:care-scene-2,care-scene,emotional,care_scene,同学跑步摔倒了,识别他人意外受伤后的疼痛与惊恐，理解身体不适带来的负面情绪，通过搀扶或寻找医护人员展现救助与体恤心。,,
care-scene:care-scene-20,care-scene,emotional,care_scene,没被邀请去生日派对,识别同伴被排挤或忽视后的落寞感，理解社交缺失带来的自我怀疑，通过主动陪伴或组织小活动来温暖对方心灵。,,
care-scene:care-scene-21,care-scene,emotional,care_scene,好朋友要转学离开了,识别面对重要关系断裂时的离别忧伤，理解长期陪伴的珍贵性，通过交换礼物或深情告别表达对友谊的珍视与关怀。,,
care-scene:care-scene-22,care-scene,emotional,care_scene,同桌被老师冤枉作弊,识别他人遭遇不实指控时的愤懑与孤立感，理解公正受损的痛苦，通过信任表态或寻找证词表达正义的情感声援。,,
care-scene:care-scene-23,care-scene,emotional,care_scene,教室突然停电一片漆黑,识别环境突变带来的集体恐慌与不安全感，理解视觉丧失的焦虑，通过言语安抚或紧握同伴的手共同克服恐惧感。,,
care-scene:care-scene-24,care-scene,emotional,care_scene,安静时肚子发出咕噜叫声,识别生理本能引发的局促与难为情，理解他人对目光的敏感，通过装作没听见或幽默化解来缓解对方的社交压力。,,
care-scene:care-scene-25,care-scene,emotional,care_scene,辛苦种的小番茄枯死了,识别他人付出努力后希望落空的悲伤，理解对生命凋零的感触，通过共同分析原因或鼓励重新播种表达精神支持。,,
care-scene:care-scene-26,care-scene,emotional,care_scene,画的画被同学嘲笑难看,识别创作自尊受损后的沮丧与自卑，理解言语攻击的伤害，通过发现画中优点并给予真诚夸奖，重建同伴自信心。,,
care-scene:care-scene-27,care-scene,emotional,care_scene,妹妹晚上怕黑不敢睡觉,识别幼小心灵对未知的恐惧，理解黑暗环境引发的焦虑，通过讲故事、陪伴或开小夜灯，展现作为兄长的责任感。,,
care-scene:care-scene-28,care-scene,emotional,care_scene,在食堂不小心打翻了餐盘,识别公共场合失误带来的狼狈与不安，理解被关注带来的压力，通过递纸巾、协助清理或打饭表达及时的援助。,,
care-scene:care-scene-29,care-scene,emotional,care_scene,好朋友在街上被父母大声训斥,识别同伴在他人面前自尊受挫的难堪，理解家庭冲突带来的恐惧，通过事后宽慰或假装没看见保护其社交尊严。,,
care-scene:care-scene-3,care-scene,emotional,care_scene,妈妈下班回家很累,识别长辈高强度工作后的疲惫感，理解成人世界的辛劳压力，通过主动倒水、按摩或保持安静表达体贴与孝顺心。,,
care-scene:care-scene-30,care-scene,emotional,care_scene,接力赛掉棒导致班级输了,识别同伴因失误产生的深度自责与内疚，理解集体荣誉受损后的压力，通过“不怪你”等言语给予宽恕与情感包容。,,
care-scene:care-scene-31,care-scene,emotional,care_scene,同学在教室里突然呕吐,识别同伴生病时的虚弱与难堪，克服对污物的本能回避，通过递纸巾、倒热水或告知老师展现高水平的关爱能力。,,
care-scene:care-scene-32,care-scene,emotional,care_scene,想加入游戏被拒绝,识别同伴面对社交排斥时的失落与孤立感，理解渴望融入的心理需求，通过主动发出邀请或协调角色分担关怀。,,
care-scene:care-scene-33,care-scene,emotional,care_scene,玩桌游输了气得掀桌子,识别同伴因好胜心受挫引发的情绪失控，理解挫折耐受力不足，通过冷静安抚或提议休息来引导对方平复心情。,,
care-scene:care-scene-34,care-scene,emotional,care_scene,不小心打碎了老师的花盆,识别因犯错带来的恐惧与惶恐情绪，理解对权威评价的担忧，通过共同承担责任或商讨认错方案给予同伴支持。,,
care-scene:care-scene-35,care-scene,emotional,care_scene,唱歌时严重破音被笑话,识别才艺表现失败后的尴尬与委屈，理解社交评价带来的打击，通过真诚鼓励或分享类似失败经验来缓解其压力。,,
care-scene:care-scene-36,care-scene,emotional,care_scene,心爱的游戏存档被不小心删了,识别他人虚拟努力付诸东流后的崩溃感，理解爱好的重要性，通过倾听其抱怨或协助重新通关表达深刻的理解。,,
care-scene:care-scene-37,care-scene,emotional,care_scene,在操场被高年级同学围观出丑,识别由于体能或技能不足带来的自卑感，理解弱势地位的局促，通过挺身而出或带离现场展现朋友间的义气关怀。,,
care-scene:care-scene-38,care-scene,emotional,care_scene,秋游时在人群中走散,识别迷路时的极度惊慌与无助感，理解脱离集体的恐惧，通过紧紧陪伴、言语安抚并积极寻求大人帮助稳定情绪。,,
care-scene:care-scene-39,care-scene,emotional,care_scene,被同伴诬陷弄坏了道具,识别被冤枉时的愤怒与心寒情绪，理解同伴背叛的心理创伤，通过坚定的信任与协助搜证，维护友谊中的公平感。,,
care-scene:care-scene-4,care-scene,emotional,care_scene,好朋友比赛输了,识别同伴付出努力后失败的挫败感，理解渴望获胜的心理预期，通过拍肩膀、递水或肯定其表现展现情感支持。,,
care-scene:care-scene-40,care-scene,emotional,care_scene,父母早上吵了很凶的架,识别家庭冲突给孩子带来的焦虑与不安全感，理解同伴内心的不安，通过倾听或提议游戏转移其悲伤情绪。,,
care-scene:care-scene-41,care-scene,emotional,care_scene,爸爸辛苦做的饭烧焦了,识别长辈付出未获成功的尴尬与懊恼，理解爱心劳动的价值，通过称赞其他菜肴或幽默化解，表达对家人的关爱。,,
care-scene:care-scene-42,care-scene,emotional,care_scene,好朋友来家里玩打碎了杯子,识别客人因失礼产生的局促与不安，理解社交礼仪中的紧张感，通过“没关系”等宽慰语迅速化解尴尬气氛。,,
care-scene:care-scene-43,care-scene,emotional,care_scene,妹妹半夜做噩梦吓哭了,识别幼童潜意识恐惧引发的惊恐，理解梦境与现实的模糊，通过温柔拍抚、开灯与陪伴睡觉提供极大的安全感。,,
care-scene:care-scene-44,care-scene,emotional,care_scene,哥哥的房间被亲戚小孩弄乱,识别私人空间受侵犯后的恼火与无奈，理解物权意识，通过协助整理或共同制定规则表达对家人的理解支持。,,
