序号,箱号,类别模块,产品名称,教育目标与功能描述,核心能力标签
1,1,基础感官调节模块,重力被,有重量的被子就像温暖拥抱，能让烦躁不安的孩子放松身体，减少床上翻动，安安稳稳睡个好觉。,深压觉安抚、睡眠支持
2,2,基础感官调节模块,重力毯,柔软且有重量的毛毯搭在身上，能快速安抚孩子激动的情绪，让他们瞬间找回踏实感，彻底放松下来。,情绪降温、触觉寻觅
3,3,基础感官调节模块,重力肩带,沉甸甸压在肩膀上，能帮好动孩子坐得稳。上课戴着不显眼，却能有效减轻焦躁情绪，让他们安静专心听讲。,安坐支持、隐蔽干预
4,4,基础感官调节模块,重力安抚熊,有重量的毛绒小熊抱在怀里，就像真人拥抱一样踏实。孩子害怕或发脾气时紧紧抱着它，心情就能很快平静。,情感依恋、感官替代
5,5,基础感官调节模块,包裹袜,弹力布筒把全身包裹起来，紧绷感能给孩子极大安全感，特别适合快速安抚大发脾气的孩子。,全身深压、防崩溃干预
6,6,基础感官调节模块,振动感官安抚拥抱枕,轻柔震动加上表面凸起的小颗粒，抱着它就像被人轻拍后背安慰，能快速让焦躁不安的孩子静下来。,振动反馈、情绪急救
7,7,基础感官调节模块,感官安抚狗,会震动还会叫的毛绒小狗，能立刻吸引注意力。在好玩的互动中，不知不觉就让孩子忘了烦恼。,注意力转移、互动安抚
8,8,基础感官调节模块,耳塞,不用塞进耳道的软耳塞，戴着舒服。它能过滤掉周围吵闹的噪音，让怕吵的孩子敢于走进人群。,听觉降敏、非侵入式
9,8,基础感官调节模块,耳罩,隔绝周围乱哄哄的声音，给怕吵的孩子戴上，就像进了安静的安全屋，防止他们因太吵而崩溃。,听觉防御、结界庇护
10,9,基础感官调节模块,感官椅,坐上去摇摇晃晃的充气椅，像摇篮般舒服。有节奏的摇摆能让好动的孩子安静下来，踏实坐得住。,前庭节律、动态安坐
11,10,基础感官调节模块,拉伸带,弹性特别大的布带，让坐不住的孩子在手里拉扯扭捏，不起眼地发泄多余精力，安静又专心。,能量释放、本体觉满足
12,10,基础感官调节模块,流动感官调控板,闪闪发光的亮片在水里慢慢流动，看着非常解压。能吸引孩子专心盯着看，忘记烦躁，安静下来。,视觉镇静、正念转移
13,11,环境创设工具-安抚灯光组,动态光影灯,彩色水母在水里轻柔游动，光线不刺眼。盯着它看，能让大发脾气的孩子慢慢放松入睡。,视觉降敏、神经冷却
14,12,环境创设工具-安抚灯光组,感官气泡管,管子里不停冒出均匀的气泡，看着特别有规律。这种视觉催眠能快速安抚情绪，让孩子彻底静下来。,视觉锚点、深层镇静
