分类,分类名称,箱号,序号,产品名称,resourceCode,图片文件名,图片存放路径
emotional-regulation,情绪调节,1,1,"表情解码套装",emotional-regulation-box01-seq001,emotional-regulation-box01-seq001.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box01-seq001.webp
emotional-regulation,情绪调节,1,2,"社交表情建构组",emotional-regulation-box01-seq002,emotional-regulation-box01-seq002.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box01-seq002.webp
emotional-regulation,情绪调节,1,3,"感官情绪建构组",emotional-regulation-box01-seq003,emotional-regulation-box01-seq003.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box01-seq003.webp
emotional-regulation,情绪调节,2,4,"心感解码套卡",emotional-regulation-box02-seq004,emotional-regulation-box02-seq004.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box02-seq004.webp
emotional-regulation,情绪调节,2,5,"情绪行为引导套卡",emotional-regulation-box02-seq005,emotional-regulation-box02-seq005.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box02-seq005.webp
emotional-regulation,情绪调节,2,6,"表情镜像干预组",emotional-regulation-box02-seq006,emotional-regulation-box02-seq006.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box02-seq006.webp
emotional-regulation,情绪调节,3,7,"口型发音训练镜",emotional-regulation-box03-seq007,emotional-regulation-box03-seq007.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box03-seq007.webp
emotional-regulation,情绪调节,3,8,"情绪分层引导盒",emotional-regulation-box03-seq008,emotional-regulation-box03-seq008.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box03-seq008.webp
emotional-regulation,情绪调节,4,9,"AI情绪管理仪",emotional-regulation-box04-seq009,emotional-regulation-box04-seq009.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box04-seq009.webp
emotional-regulation,情绪调节,5,10,"情绪解码互动桌游",emotional-regulation-box05-seq010,emotional-regulation-box05-seq010.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box05-seq010.webp
emotional-regulation,情绪调节,6,11,"情绪管理桌游",emotional-regulation-box06-seq011,emotional-regulation-box06-seq011.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box06-seq011.webp
emotional-regulation,情绪调节,7,12,"共情解码沟通桌游",emotional-regulation-box07-seq012,emotional-regulation-box07-seq012.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box07-seq012.webp
emotional-regulation,情绪调节,8,13,"百变造型桌游",emotional-regulation-box08-seq013,emotional-regulation-box08-seq013.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box08-seq013.webp
emotional-regulation,情绪调节,9,14,"故事手偶",emotional-regulation-box09-seq014,emotional-regulation-box09-seq014.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box09-seq014.webp
emotional-regulation,情绪调节,10,15,"可视化沟通板套装",emotional-regulation-box10-seq015,emotional-regulation-box10-seq015.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box10-seq015.webp
emotional-regulation,情绪调节,11,16,"振动感官安抚拥抱枕",emotional-regulation-box11-seq016,emotional-regulation-box11-seq016.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box11-seq016.webp
emotional-regulation,情绪调节,12,17,"重力安抚器",emotional-regulation-box12-seq017,emotional-regulation-box12-seq017.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box12-seq017.webp
emotional-regulation,情绪调节,13,18,"加权安抚感知组",emotional-regulation-box13-seq018,emotional-regulation-box13-seq018.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box13-seq018.webp
emotional-regulation,情绪调节,14,19,"节律安抚玩偶",emotional-regulation-box14-seq019,emotional-regulation-box14-seq019.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box14-seq019.webp
emotional-regulation,情绪调节,15,20,"触觉情绪调节组",emotional-regulation-box15-seq020,emotional-regulation-box15-seq020.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box15-seq020.webp
emotional-regulation,情绪调节,16,21,"多维情绪调节组",emotional-regulation-box16-seq021,emotional-regulation-box16-seq021.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box16-seq021.webp
emotional-regulation,情绪调节,17,22,"触感解压组",emotional-regulation-box17-seq022,emotional-regulation-box17-seq022.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box17-seq022.webp
emotional-regulation,情绪调节,18,23,"多模态视觉安抚组",emotional-regulation-box18-seq023,emotional-regulation-box18-seq023.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box18-seq023.webp
emotional-regulation,情绪调节,18,24,"八音盒",emotional-regulation-box18-seq024,emotional-regulation-box18-seq024.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box18-seq024.webp
emotional-regulation,情绪调节,19,25,"多模态色彩感知组",emotional-regulation-box19-seq025,emotional-regulation-box19-seq025.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box19-seq025.webp
emotional-regulation,情绪调节,19,26,"七彩渐变感知组",emotional-regulation-box19-seq026,emotional-regulation-box19-seq026.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box19-seq026.webp
emotional-regulation,情绪调节,20,27,"情绪解压组-吐泡企鹅",emotional-regulation-box20-seq027,emotional-regulation-box20-seq027.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box20-seq027.webp
emotional-regulation,情绪调节,20,27,"情绪解压组-瞪眼小龙",emotional-regulation-box20-seq027-a,emotional-regulation-box20-seq027-a.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box20-seq027-a.webp
emotional-regulation,情绪调节,20,27,"情绪解压组-吐舌青蛙",emotional-regulation-box20-seq027-b,emotional-regulation-box20-seq027-b.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box20-seq027-b.webp
