情绪分类,难度分级,场景编号,场景名称,场景核心线索,场景训练目的,特教情绪锚点（避坑红线）
平静,L1,1,幼儿园绘本角安静看书,小朋友坐在地垫上双手捧着图画书，眼神专注看书，表情放松，周围无干扰,识别阅读场景中的平静情绪，理解专注且放松的身体面部线索，学习在无干扰环境中维持自身的情绪平稳。,绝对不能出现任何奖惩、冲突、惊喜线索，纯专注中性状态
平静,L1,2,在沙坑里安静挖沙子,小朋友拿着塑料小铲子在沙坑里装沙子，表情放松，周围无其他人争抢,识别独自玩耍场景中的平静情绪，理解无表现压力、无外界评价的纯粹玩耍过程，训练独立活动时的心境稳定性。,不能出现搭好的精美城堡（避免自豪），纯玩耍过程
平静,L1,3,排队在水槽洗手,小朋友排在幼儿园洗手池前，安静等待前面的人洗手，站姿端正，无推搡,识别排队等待场景中的平静情绪，理解遵守社会规则（排队）时的中性状态，训练延迟满足与常规等待期的情绪自控能力。,不能出现水花溅到身上、插队等线索
平静,L2,4,教室里安静写田字格本,小学生坐在课桌前，低头用铅笔写田字格，表情专注，桌上放着橡皮,识别学习场景中的平静情绪，理解无外界奖惩刺激下的自主专注力，训练在日常课业中保持情绪平稳不起伏。,不能出现满分试卷、红叉试卷，纯无奖惩的自习状态
平静,L3,5,图书馆戴耳机安静自习,中学生坐在图书馆书桌前，戴着有线耳机，低头看复习资料，表情平静,识别公共环境中的高级平静状态，理解自我边界与专注力的维持，学习在复杂或有轻微干扰的环境中保持内在平和。,不能出现焦虑抓头发的动作，纯专注中性状态
开心,L1,6,吃着巨大的冰糖葫芦,小朋友站在庙会/街边，手里举着一串鲜艳的红糖葫芦，咬了一口，满脸灿烂笑容,识别品尝喜爱食物时的开心情绪，完成“获得美食-开心”的基础因果推理，训练对即时感官满足的正向情感表达。,突出即时获得的感官快乐，中国特色元素
开心,L1,7,小区草坪玩吹泡泡机,小朋友在草坪上举着海豚泡泡机，周围飞满彩色泡泡，笑得前仰后合,识别户外自由玩耍场景中的开心情绪，理解无竞争环境下的纯粹快乐，鼓励特需儿童体验并用表情和肢体动作分享积极情绪。,无比赛无奖惩，纯无压力的玩耍快乐
开心,L1,8,过年收到长辈的红压岁钱,小朋友穿着红毛衣，双手拿着长辈递过来的大红包，眼睛笑弯成月牙,识别节日社交场景中的开心情绪，理解“获得礼物/长辈关爱-开心”的因果关系，学习在开心状态下做出正确的社交回应（如微笑、道谢）。,中国春节特色，即时获得的快乐
开心,L2,9,和同学打乒乓球赢了球,室外乒乓球台旁，小学生挥舞球拍跳起来，脸上大笑，对面同学在捡球,识别体育比赛获胜场景中的开心情绪，理解努力获得胜利的成就感，学习合理表达赢球后的快乐并兼顾同伴感受的体育礼仪。,中国特色体育活动，即时获胜的快乐
开心,L2,10,全家人围在一起包饺子,小学生的鼻尖上沾着一点白面粉，手里举着刚包好的一个饺子，和旁边的父母一起大笑,识别家庭互动场景中的开心情绪，理解陪伴、合作与归属感带来的温馨快乐，培养家庭情感连结与亲社会互动意愿。,中国家庭特色，纯陪伴与参与的快乐
开心,L2,11,游乐场坐碰碰车相撞,小学生坐在碰碰车里，刚好和旁边的车轻轻撞上，双手抓方向盘大笑,识别游乐场景中的开心/兴奋情绪，理解安全边界内的感官刺激带来的快乐，帮助儿童区分“安全刺激的开心”与“失控危险的恐惧”。,纯游乐的刺激与快乐，无成就线索
开心,L3,12,班级合唱比赛拿了奖状,全班穿着统一校服站在合唱台上，前排同学举着奖状，大家集体欢呼大笑,识别集体获奖场景中的开心情绪，理解个体努力与团队荣誉带来的集体自豪感，训练在群体情境中共享喜悦及培养同理心。,校园集体活动的快乐，中国校园特色
开心,L3,13,和朋友骑共享单车春游,两个中学生骑着小黄车/小蓝车在林荫道上，迎风蹬车，满脸释然的灿烂笑容,识别户外休闲运动场景中的开心情绪，理解课业压力释放后的释然之乐，学习建立健康有效的自我情绪调节与解压机制。,中国生活特色，纯放松的游玩快乐
难过,L1,14,冰淇淋掉在地上,小朋友站在路边，手里只剩一个空蛋筒，冰淇淋球掉在地上化了，小朋友低头撇嘴哭,识别心爱物品损坏时的难过情绪，完成“失去/损坏-难过”的基础因果推理，学习使用语言表达失落而非出现行为崩溃。,纯心爱物品损坏的难过，无需脑补时间线
难过,L1,15,气球飞上天抓不到,小朋友仰头看着飞向高空的卡通气球，手里空空的，眼泪挂在脸颊，伸手去抓,识别物品丧失带来的难过情绪，理解不可逆转的失去带来的直接悲伤，训练面对突发失落时如何寻求大人的情感安抚。,纯失去物品的难过，视觉因果极度直接
难过,L1,16,商场里找不到妈妈,小朋友站在商场人流中，周围都是陌生人的腿，小朋友睁眼大哭，伸手喊妈妈,识别分离焦虑引发的难过情绪，理解依恋对象缺失带来的痛苦与不安全感，学习在陌生环境中正确的求助路径（如找穿制服的保安）。,纯分离焦虑带来的难过，无被欺负的恐惧线索
难过,L2,17,没被选上升旗手,操场上升旗仪式，别的小朋友穿着礼服拉升旗绳，主角穿着普通校服站在队伍里，低头抹眼泪,识别期待落空时的难过情绪，理解“落选但需维持规则”的校园情境，训练面对挫折时的自我心理调适与负面情绪接纳。,中国校园特色，纯落选的失落，排除嫉妒（重点在低头哭）
难过,L2,18,宠物小金鱼漂在水面,小学生站在鱼缸前，鱼缸里的小金鱼肚子朝上翻白漂着，小朋友双手趴在玻璃上，脸上有泪痕,识别面对生命丧失的深度悲伤情绪，理解死亡及永久消失的概念，进行初步的生命教育与哀伤辅导应对训练。,纯丧失带来的悲伤，死亡线索100%画面可视
难过,L2,19,和好朋友吵架背对背,两个戴着同款手链的小学生，背对背坐在长椅两端，主角低着头，眼眶通红流泪,识别同伴冲突引发的难过情绪，理解物理距离背后的心理失落与友谊破裂感，学习冲突后的情绪冷却以及后续的关系修复策略。,纯关系破裂的失落，无打斗线索，视觉上明确的物理隔离
难过,L3,20,桌上放着不及格的成绩单,中学生坐在书桌前，面前是一张写着45分的数学试卷，双手捂住脸，肩膀耷拉着,识别学业受挫引发的难过情绪，理解努力无效带来的自我怀疑与挫败感，训练抗挫折心理弹性和受挫后的自我宽慰能力。,纯考试失利的难过，分数线索极其直接
