序号,箱号,类别模块,产品名称,教育目标与功能描述,核心能力标签
1,1,认知配对,魔术配对套件,拿捏甜甜圈模型玩配对，练手指灵活。教孩子认颜色和找相同，做事更专注，搞懂简单的分类逻辑。,精细动作、认知配对
2,1,生活技能实操,穿鞋子,模拟真实鞋带，教孩子穿绳打结。专门解决不会穿鞋的难题，练手眼配合，让孩子出门能自己搞定。,生活自理、手眼协调
3,1,生活技能实操,神奇衣服,练习拉拉链、系扣子和撕贴魔术贴。解决孩子穿衣慢、不会弄纽扣的烦恼，顺便认识各种职业服装。,穿衣技能、精细动作
4,2,认知拓展,多彩世界,开关车门、推着小车滑行。教孩子认颜色，明白推了才会走的因果关系，还能开心玩假装开车的游戏。,颜色认知、因果关系
5,3,认知拓展,仿真动物模型套装,摸摸小动物，学动物怎么叫。帮孩子认识动物长相，鼓励开口说话，还能按天上飞和水里游的分类。,动物认知、语言表达
6,4,认知配对,魔术生活-影子配对,看外形轮廓找对应的影子。专门训练孩子眼睛毒、看得准，明白东西和影子的关系，做事更专心。,视觉辨别、逻辑思维
7,4,认知配对,魔术生活-表情变脸魔术贴,动手拼贴不同的五官魔术贴。教孩子认识喜怒哀乐等表情，明白开心或生气时脸部是什么样子。,情绪认知、精细动作
8,4,生活技能实操,魔术生活-小熊换衣,给小熊脱衣穿衣，发挥儿童想象与穿衣，给小熊搭配不同的衣服，比一比谁的更好看。,穿衣自理、逻辑顺序
9,5,生活技能实操,解扣游戏,集中练习解开和扣上各种日常衣物扣子。针对手指没劲、不会解扣子，让孩子自己穿脱衣服不求人。,解扣技能、手指灵巧
10,6,自理支持,17种生活能力培养手册套件,用图卡拆解洗脸刷牙等十七个生活步骤。看图照着做，帮记不住流程的孩子理清顺序，建立自信心。,流程认知、视觉提示
11,7,认知拓展,仿真水果12个,摸一摸认一认常见水果。诱导孩子开口说出水果名字和颜色，用来玩过家家买卖游戏，学会社交。,水果认知、语言表达
12,8,生活技能实操,喝水游戏,拿茶壶模拟倒水泡茶。专门练手腕求稳不发抖，教孩子日常怎么倒水喝，还能学会请客喝茶的礼貌。,手腕控制、社交礼仪
13,9,自理支持,洗漱套件（2组）,拿着小毛巾学洗脸擦手。教孩子洗完手要自己擦干，用完毛巾懂得挂回原处，养成讲卫生的好习惯。,洗漱技能、卫生习惯
14,10,生活技能实操,餐桌套件,模拟吃饭前摆碗筷。教孩子认识各种餐具的用处，练手眼配合，顺便学一学乖乖坐在餐桌前的规矩。,就餐技能、餐桌礼仪
15,11,生活技能实操,手部精细训练套件（2组）,拿钥匙对准锁孔拧开。这个动作极其考验手指捏力和手腕转动，帮孩子搞懂哪把钥匙开哪把锁的逻辑。,手指力量、问题解决
