领域,评估项目,观察与评估标准,参考年龄
手部抓握,全手掌握持积木,观察儿童以全手掌抓握方形积木，评估基础握力及手指屈曲功能。,3岁
手部抓握,桡侧指腹捏,观察儿童以拇指与食指/中指的桡侧（靠近拇指一侧）对捏细小积木。,3岁
手部抓握,三指捏取小物件,观察儿童以拇指、食指及中指指腹捏起桌上的小物件（如糖果大小）。,3岁
手部抓握,拇食指精确指尖捏,观察儿童以拇指指尖与食指指尖精确夹捏微小物件（如小串珠）。,3-4岁
手部抓握,三指抓握蜡笔,观察儿童以拇指、食指及中指抓握蜡笔涂鸦，评估基础握笔姿势。,3岁
手部抓握,成熟三指握笔,观察儿童以成熟的三脚架姿势（动态或静态）握持铅笔，手指位置适当。,4岁
手部抓握,正确持剪刀姿势,观察儿童拇指穿入上环、食中指穿入下环，以正确姿势握持儿童剪刀。,4岁
手部抓握,正确握持汤勺,观察儿童以惯用手握持汤勺，勺柄方向及握持位置符合进食功能需求。,3岁
手部抓握,握持筷子基本姿势,观察儿童尝试以正确方式握持筷子，上方筷子可活动，下方筷子相对固定。,5岁
手部抓握,拇食指捏珠入瓶,观察儿童以拇食指捏取小珠子并精准放入窄口瓶中，评估捏放控制力。,3岁
手部抓握,柱状抓握细长物件,观察儿童抓握粉笔等细长物件，拇指与其他四指呈对掌状态。,4岁
手部抓握,握笔控制书写方向,观察儿童三指握笔书写或画线时，能有意识地改变笔尖移动方向。,4-5岁
手部抓握,捏取微小物件,观察儿童以拇、食、中三指捏起绿豆大小的物件，评估动作精确度及速度。,4岁
手部抓握,指内操作：转动笔杆,观察儿童在书写中途，仅通过手指动作转动笔杆调整角度，无需放下笔。,5岁
手部抓握,抓握配合手腕旋转,观察儿童抓握工具时配合手腕的旋前/旋后动作，如拧螺丝或用画笔涂色。,5岁
手指灵活性,穿珠（大孔）,观察儿童将大珠子逐一穿入粗线（孔径≥8mm），评估基础的手眼协调。,3岁
手指灵活性,精准投放（窄口瓶）,观察儿童以拇食指捏起珠子，准确投入窄口玻璃瓶（孔径约15mm）中。,3岁
手指灵活性,双手搓圆（彩泥）,观察儿童以双手掌心相对搓揉彩泥成光滑球状，评估手掌力量与协调。,3岁
手指灵活性,掌心压扁彩泥,观察儿童用手掌或拇指施力将彩泥压平，评估手部施力与控制。,3岁
手指灵活性,逐页翻书,观察儿童以拇指和食指捏住单页边缘翻阅图画书，不会一次翻起多页。,3岁
手指灵活性,拧开瓶盖,观察儿童以拇指及四指握住瓶盖，作逆时针旋转动作拧开。,3-4岁
手指灵活性,解开大纽扣,观察儿童运用拇指和食指配合，解开衣服上的大纽扣（直径≥15mm）。,4岁
手指灵活性,扣上大纽扣,观察儿童双手指尖配合，将纽扣穿过扣眼并拉出固定，评估双手精细协调。,4-5岁
手指灵活性,桌面搓长条（彩泥）,观察儿童用手掌在桌面上将彩泥搓成均匀的长条，评估手掌施力均匀度。,4岁
手指灵活性,穿珠（小孔）,观察儿童将小珠子穿入细线（孔径≤5mm），评估高级精细协调及视觉引导。,4-5岁
手指灵活性,拧螺丝入孔,观察儿童以拇、食、中指捏住螺丝，对准孔位后作顺时针旋转拧入。,4岁
手指灵活性,拉上拉链,观察儿童一手固定拉链底端，另一手捏住拉链头向上拉至顶端。,4岁
手指灵活性,手指分离动作（逐一伸屈）,观察儿童能逐一弯曲和伸展五根手指，如进行“点数手指”动作。,4岁
手指灵活性,手指对捏交替（对指）,观察儿童以拇指依次与其他四指指尖快速对捏接触，评估动作流畅度及速度。,5岁
手指灵活性,手指卷纸筒,观察儿童用手指灵活地将薄纸卷成圆筒状，评估手指协调性。,5岁
手指灵活性,手指捏塑造型（彩泥）,观察儿童用手指捏压彩泥，做出简单的平面或立体造型，评估手指精确控制力。,4-5岁
双手协调,双手拍手,观察儿童双手掌心相对准确拍击，评估双侧肢体同步基础动作。,3岁
双手协调,双手端物行走,观察儿童双手平稳端着托盘或容器行走，评估双侧肢体平衡与协调。,3岁
双手协调,双手配合撕纸,观察儿童一手固定纸张，另一手向前后拉扯撕开，评估双手不对称分工。,3岁
双手协调,双手配合倒水,观察儿童一手扶稳水杯，另一手提水壶倒水，评估双手分工与稳定性。,3-4岁
双手协调,双手折纸（边对边）,观察儿童将A4纸对齐折叠一次，通过边缘对齐程度评估双手协调性。,4岁
双手协调,双手折纸（角对角）,观察儿童将纸张的角对角折成三角形，评估较高级的双手精确协调。,5岁
双手协调,拉开自封袋/密封袋,观察儿童一手捏住袋身，另一手拉开自封袋封口，评估双手配合的稳定性。,4岁
双手协调,沿直线剪纸,观察儿童一手持纸，一手握剪刀，沿直线剪开，评估双手配合剪切能力。,4岁
双手协调,沿曲线剪纸,观察儿童按曲线路径剪切，非惯用手配合转动纸张，偏离线条≤5mm。,4-5岁
双手协调,沿轮廓剪圆形,观察儿童沿圆形轮廓剪下，形状接近正圆，评估剪切的连贯性及双手动态配合。,5岁
双手协调,一手按纸一手涂色,观察儿童非惯用手按压画纸，惯用手持笔涂色，评估双手稳定分工。,4岁
双手协调,双手悬空搓圆（彩泥）,观察儿童双掌相对悬空搓揉彩泥，评估双手掌侧力量协调及节奏配合。,3岁
