序号,箱号,类别模块,产品名称,教育目标与功能描述,能力标签
1,1,触觉材料套装,感官环,戴在手腕上随时摸摸不同的纹理，能帮敏感的孩子适应触觉刺激，让焦躁的心情变平静。,触觉调节、情绪稳定
2,1,触觉材料套装,彩色感官组,让小手摸摸光滑或粗糙的石头，像探险一样分辨不同质感，让手指尖的感觉变得更灵敏。,触觉辨识、精细触觉
3,1,触觉材料套装,触觉认知拓扑球,使劲捏这个拓扑球，手指越用力越能感觉到反馈，能帮孩子发泄多余精力，让大脑清醒点。,指尖力量、自我调节
4,1,触觉材料套装,多角形压力调节组,星星角捏起来软硬适中，孩子心烦时使劲揉搓它，既能把坏情绪发泄掉，又能锻炼手指头。,情绪宣泄、精细控制
5,1,触觉材料套装,色彩流变感知组,一捏里面的液体就会流动变色，好看又好玩。孩子盯着看一会儿，哭闹的注意力就被转移了。,视觉追踪、情绪调节
6,1,触觉材料套装,双位按压反馈组,按下去“啵”的一声特别解压，手闲不住的孩子一直按这个，上课就不容易走神或捣乱了。,听觉反馈、专注辅助
7,1,触觉材料套装,慢回弹压力缓解组,软乎乎的包子随便怎么捏都能变回原样，孩子发脾气想撒气时就捏它，安全又练手劲儿。,情绪宣泄、手部控制
8,1,触觉材料套装,彩色波纹伸缩组,一扔出去瞬间变大，收回来又变小。神奇的变形能吸引孩子一直玩，锻炼眼睛盯着物体看。,视觉关注、因果认知
9,1,触觉材料套装,多向伸缩感知组,把小人的手脚扭来扭去摆造型，既练手劲又好玩。看着小人的笑脸，还能教孩子认识表情。,手部力量、本体感知
10,1,触觉材料套装,柔性人形感知组,转一转就能变出各种形状，像变魔术一样。这能让孩子手腕更灵活，脑子里也有立体图形。,空间规划、手腕灵活
11,1,触觉材料套装,分段式弯折感知组,用两个手指捏着玩弯折游戏，就像拔萝卜一样有趣。专门锻炼孩子拿东西的手势和准头。,手眼协调、精细抓握
12,1,触觉材料套装,多环嵌套感知组,弯一弯再直起来，动作特别简单。很适合刚开始学的孩子跟着老师做模仿，活动手指关节。,基础模仿、动作诱发
13,1,触觉材料套装,可扭转感知组,用力拉开会有“咔咔”的声音，还能接在一起。喜欢听怪声、手劲大的孩子玩这个最过瘾。,双手协调、听觉反馈
14,1,触觉材料套装,3D网式感知组,拿在手里不停地扭来扭去，一点声音都没有。孩子上课紧张或手痒时玩这个，解压不扰民。,精细控制、情绪调节
15,1,触觉材料套装,3D翻转感知组,双手用力拉开这张网，看着它变形。拉扯时的阻力能让孩子感觉到肌肉发力，锻炼协调性。,双手协调、本体感知
