sceneCode,title,themeCategory,sceneDomain,ageRange
scene-1,幼儿园绘本角安静看书,平静专注,校园,4-6
scene-2,在沙坑里安静挖沙子,平静专注,自然生态,4-6
scene-3,排队在水槽洗手,平静专注,校园,4-6
scene-4,教室里安静写田字格本,平静专注,校园,7-12
scene-5,图书馆戴耳机安静自习,平静专注,公共商业与社区,13-17
scene-6,吃着巨大的冰糖葫芦,快乐体验,公共商业与社区,4-6
scene-7,小区草坪玩吹泡泡机,快乐体验,公共商业与社区,4-6
scene-8,过年收到长辈的红压岁钱,快乐体验,家庭,4-6
scene-9,和同学打乒乓球赢了球,快乐体验,校园,7-12
scene-10,全家人围在一起包饺子,快乐体验,家庭,7-12
scene-11,游乐场坐碰碰车相撞,快乐体验,公共商业与社区,7-12
scene-12,班级合唱比赛拿了奖状,快乐体验,校园,13-17
scene-13,和朋友骑共享单车春游,快乐体验,交通出行,13-17
scene-14,冰淇淋掉在地上,失落挫折,公共商业与社区,4-6
scene-15,气球飞上天抓不到,失落挫折,公共商业与社区,4-6
scene-16,商场里找不到妈妈,害怕与安全,公共商业与社区,4-6
scene-17,没被选上升旗手,失落挫折,校园,7-12
scene-18,宠物小金鱼漂在水面,失落挫折,家庭,7-12
scene-19,和好朋友吵架背对背,失落挫折,校园,7-12
scene-20,桌上放着不及格的成绩单,失落挫折,校园,13-17
scene-21,篮球赛输了坐在场边,失落挫折,校园,13-17
scene-22,搭好的积木被同伴一把推倒,同伴冲突与边界,校园,4-6
scene-23,手里的玩具汽车被强行拽走,同伴冲突与边界,公共商业与社区,4-6
scene-24,正在看动画片电视被拔电源,同伴冲突与边界,数字虚拟,4-6
scene-25,刚写完的作业本被泼了脏水,同伴冲突与边界,校园,7-12
scene-26,食堂打饭被同学强行插队,同伴冲突与边界,校园,7-12
scene-27,借给同学的新橡皮被掰成两半,同伴冲突与边界,校园,7-12
scene-28,回座位发现书包被人翻得乱七八糟,同伴冲突与边界,校园,13-17
scene-29,辛辛苦苦画的黑板报被乱涂乱画,同伴冲突与边界,校园,13-17
scene-30,窗外闪电打雷劈下,害怕与安全,自然生态,4-6
scene-31,被没拴绳的大狗冲着叫,害怕与安全,自然生态,4-6
scene-32,在医院看到护士拿着大针管,害怕与安全,医疗康复,4-6
scene-33,独自走漆黑的楼梯间,害怕与安全,公共商业与社区,7-12
scene-34,看恐怖片吓得躲在被子里,害怕与安全,数字虚拟,7-12
scene-35,走夜路发现身后有黑影跟着,害怕与安全,公共商业与社区,13-17
scene-36,站在校长办公室门口被点名,害怕与安全,校园,13-17
scene-37,在幼儿园午睡醒来尿裤子了,社交尴尬,校园,4-6
scene-38,衣服穿反了领口标签露在外面,社交尴尬,校园,4-6
scene-39,上课读错拼音被全班哄笑,社交尴尬,校园,7-12
scene-40,食堂吃饭不小心筷子掉地上,社交尴尬,校园,7-12
scene-41,跑操时鞋子飞出去被围观,社交尴尬,校园,7-12
scene-42,演讲台上麦克风坏了发不出声音,社交尴尬,校园,13-17
scene-43,认错人从背后拍了陌生人的肩膀,社交尴尬,公共商业与社区,13-17
scene-44,被过年走亲戚的阿姨夸奖可爱,害羞与被关注,家庭,4-6
scene-45,第一天戴上红领巾被全班注视,害羞与被关注,校园,4-6
scene-46,老师当众朗读自己的优秀作文,害羞与被关注,校园,7-12
scene-47,收到同学亲手折的千纸鹤礼物,害羞与被关注,校园,7-12
scene-48,被全班同学围着唱生日快乐歌,害羞与被关注,校园,13-17
scene-49,上台领取“三好学生”奖状,害羞与被关注,校园,13-17
scene-50,手里的玩具被一把抢走,同伴冲突与边界,公共商业与社区,4-6
scene-51,辛苦画的画掉进了水坑里,失落挫折,公共商业与社区,7-12
scene-52,突然冲出来狂吠的大狗,害怕与安全,自然生态,4-6
scene-53,在平地上突然绊倒被围观,社交尴尬,公共商业与社区,7-12
scene-54,被不认识的亲戚热情夸奖,害羞与被关注,家庭,7-12
scene-55,大扫除被公开表扬负责任,害羞与被关注,校园,13-17
scene-56,看牙医害怕机器的声音,害怕与安全,医疗康复,7-12
scene-57,自己学会了用筷子夹起花生米,成长成就,家庭,4-6
scene-58,额头正中间被老师贴了“小红星”,成长成就,校园,4-6
scene-59,戴上了班级“值日生”的红袖标,成长成就,校园,7-12
scene-60,独立拼好了一个极其复杂的乐高长城模型,成长成就,家庭,7-12
scene-61,试卷上写着鲜红的“100分”,成长成就,校园,7-12
scene-62,胸前挂着校运动会的金牌,成长成就,校园,13-17
scene-63,手里拿着红色的“高中/大学录取通知书”,成长成就,家庭,13-17
scene-64,日记本被别人偷看,同伴冲突与边界,校园,13-17
scene-65,最喜欢的冰淇淋掉地上了,失落挫折,公共商业与社区,4-6
scene-66,独立拼好了一千块的拼图,成长成就,家庭,7-12
scene-67,热情挥手发现对方在和别人打招呼,社交尴尬,公共商业与社区,13-17
scene-68,躲在妈妈身后不敢打招呼,害羞与被关注,家庭,4-6
scene-69,收到梦寐以求的小狗礼物,快乐体验,家庭,4-6
scene-70,排队玩滑梯被强行插队,同伴冲突与边界,公共商业与社区,7-12
scene-71,安静的考场上肚子大声咕噜叫,社交尴尬,校园,13-17
scene-72,好朋友转学离开了,失落挫折,校园,7-12
scene-73,第一次学会骑两轮自行车,成长成就,交通出行,7-12
scene-74,收到同学亲手做的新年贺卡,快乐体验,校园,13-17
scene-75,在沙滩上安静地堆沙堡,平静专注,自然生态,4-6
scene-76,最喜欢的贴纸书被人撕坏,同伴冲突与边界,校园,7-12
scene-77,走错班级被全班同学盯着看,社交尴尬,校园,7-12
scene-78,课桌上突然出现一只大蜘蛛,害怕与安全,自然生态,4-6
scene-79,期待的秋游因为暴雨取消了,失落挫折,自然生态,7-12
scene-80,足球比赛踢进了制胜的一球,成长成就,校园,13-17
