序号,箱号,类别名称,产品名称,教育目标与功能描述,能力标签
1,1,情绪认知类,表情解码套装,像玩连连看一样配对表情蛋，教孩子认清喜怒哀乐。让脸盲的孩子快速记住别人的表情含义。,情绪认知、因果关系
2,1,情绪认知类,社交表情建构组,用积木拼出五官的位置，让小小孩明白眼睛眉毛怎么动才是开心。教孩子读懂别人的脸部信号。,空间结构、面部认知
3,1,情绪认知类,感官情绪建构组,拼搭更复杂的表情积木，观察眉毛翘起是生气还是惊讶。教孩子看懂脸上细微的情绪变化。,社交线索、精细动作
4,2,情绪认知类,心感解码套卡,看图猜猜画里的人心里在想什么。专门训练孩子学会换位思考，搞懂别人没说出口的小情绪。,同理心、社交推断
5,2,情绪认知类,情绪行为引导套卡,把心情像红绿灯一样分级。让孩子看着卡片就知道自己现在多生气，该停下来深呼吸冷静了。,自我监控、行为干预
6,2,情绪认知类,表情镜像干预组,照着镜子做鬼脸，看看自己生气时脸是什么样。帮孩子控制面部肌肉，学会管理自己的表情。,自我意识、非语言沟通
7,3,情绪认知类,口型发音训练镜,插卡录音，一边看口型一边听声音。帮不爱说话的孩子把图画和声音对上号，诱导开口表达。,情绪辨识、声音模仿
8,3,情绪认知类,情绪分层引导盒,害羞不敢说话就让手偶替你说。躲在盒子后面表演，让社恐的孩子卸下防备，大胆表达心声。,角色扮演、语言表达
9,4,情绪认知类,AI情绪管理仪,它是能听懂情绪的机器人，帮孩子分析说话语气对不对。把看不见的声音变成能看懂的分数。,韵律表达、情绪评估
10,5,情绪理解类,情绪解码互动桌游,把乱糟糟的心情按颜色分类装进瓶子。通过游戏帮孩子理清情绪，明白自己到底在发什么火。,情绪分类、规则意识
11,6,情绪理解类,情绪管理桌游,喂小怪兽吃东西来学情绪词汇。好玩的喂食动作能抓住孩子的注意力，让枯燥的学习变有趣。,游戏介入、互动轮流
12,7,情绪理解类,共情解码沟通桌游,玩游戏换个角度看问题，猜猜对方为什么那样做。专门治孩子以自我为中心，减少人际冲突。,换位思考、冲突解决
13,8,情绪理解类,百变造型桌游,像贴画一样拼出现在的表情。让说不清楚话的孩子用拼图告诉老师：我现在很难过或很开心。,创意表达、情绪外化
14,9,情绪理解类,故事手偶,套上手偶演一出戏，把刚才发生的冲突重演一遍。教孩子理清前因后果，学会把事情说清楚。,叙事语言、逻辑思维
15,10,情绪理解类,可视化沟通板套装,按下按钮就能说话，帮孩子表达“我要喝水”或“我不开心”。从一个词开始慢慢学会造句。,情绪表达、自我管理
16,11,情绪安抚类,振动感官安抚拥抱枕,抱紧它就会震动，这种因果反馈特别吸引孩子。既能做安抚玩具，又能当做表现好的小奖励。,感官调节、情绪宣泄
17,12,情绪安抚类,重力安抚器,沉甸甸的小熊抱在怀里，就像妈妈的拥抱。孩子哭闹或者睡不着时抱着它，很快就安心了。,深压觉、焦虑缓解
18,13,情绪安抚类,加权安抚感知组,比普通玩偶重很多的狐狸，压在腿上特别踏实。受惊吓或者感官超载时，它是最好的陪伴。,深压觉、焦虑缓解
19,14,情绪安抚类,节律安抚玩偶,软萌兔子带灯光还会唱歌，抱着它非常有安全感。温柔的节奏能帮焦虑的孩子慢慢放松入睡。,视听舒缓、安全感
20,15,情绪安抚类,触觉情绪调节组,捏一捏带刺或光滑的小球，手感各不相同。心烦意乱时使劲捏它，通过触觉刺激转移坏情绪。,触觉探索、手部力量
21,16,情绪安抚类,多维情绪调节组,这个球很难拼，逼着孩子必须动脑子思考。大脑一运转逻辑，发脾气的“情绪脑”就自动熄火。,认知转移、逻辑思维
22,17,情绪安抚类,触感解压组,摸起来像玉石一样温润，把它们排排队。这种简单的重复动作，能让焦虑的孩子立刻静下心。,正念、触觉调节
23,18,情绪安抚类,多模态视觉安抚组,满屋子都是柔和的海浪光影，像海底世界一样安静。专门用来安抚感官超载、即将崩溃的孩子。,环境调节、视觉镇静
24,18,情绪安抚类,八音盒,拧紧发条听听清脆的音乐，机械声很有规律。这种简单的重复声音，是听觉敏感孩子的避风港。,听觉舒缓、听觉定位
25,19,情绪安抚类,多模态色彩感知组,小星星握在手里发着光，走到哪亮到哪。给怕黑的孩子一种掌控感，视觉聚焦让他们不再乱跑。,便携安抚、视觉聚焦
26,19,情绪安抚类,七彩渐变感知组,捧着变色的月亮灯，光线柔和不刺眼。在黑暗的感官室里，它是引导孩子视线移动的安全光点。,视觉定位、安全感
27,20,情绪宣泄类,情绪解压组-吐泡企鹅,只要使劲捏，企鹅嘴里就吐泡泡。把想打人的手劲用在捏玩具上，看着滑稽的泡泡就气消了。,压力释放、手部力量
27,20,情绪宣泄类,情绪解压组-瞪眼小龙,一捏它眼睛就爆出来，样子特别逗。专门给愤怒的孩子发泄用，用力捏它比破坏东西好得多。,情绪宣泄、握力训练
27,20,情绪宣泄类,情绪解压组-吐舌青蛙,捏一下舌头吐出来，松手又缩回去。简单的互动反馈，能让紧张的孩子在玩耍中不知不觉放松。,压力释放、因果反馈
27,20,情绪宣泄类,情绪解压组-惨叫鸡,捏它会发出惨叫声，听着很解压。允许孩子用它大声发泄情绪，或者帮害怕声音的孩子练胆量。,听觉脱敏、情绪宣泄
27,20,情绪宣泄类,情绪解压组-发光兔子,捏它就会发光，在暗处玩特别漂亮。适合躲在角落里玩，通过挤压和看光，自己把情绪调好。,视触整合、自我调节
28,21,情绪宣泄类,可流动情绪释放组,踩上去地板里的彩色液体会跑，像踩水坑一样。吸引低头族孩子动起来，跑跑跳跳释放压力。,视觉追踪、大动作
29,21,情绪宣泄类,行为疏导支持教具,把软胶条塞进洞里再抠出来，手感特别好。上课手闲不住时玩这个，能代替咬手或抠桌子的坏毛病。,触觉探索、精细操作
30,22,情绪宣泄类,敲击式情绪宣泄板,既能敲琴又能打地鼠，想怎么敲就怎么敲。让孩子在叮叮当当的声音里，把浑身的劲儿都发泄掉。,听觉反馈、大肌肉运动
31,23,情绪宣泄类,呐喊消音教具,对着壶口拼命尖叫，声音会被“吃掉”变很小。想崩溃尖叫时用它，既发泄了又不会吓到别人。,情绪宣泄、声音控制
32,23,情绪宣泄类,发声解压垫,坐上去会发出放屁的声音，孩子们都会笑。用这种恶作剧的小幽默，瞬间打破紧张僵硬的气氛。,幽默感、听觉刺激
33,24,安静互动类,多感协同情绪稳定组,翻翻书上的毛毡农场，粘粘贴贴一点声音都没有。让好动的孩子在课堂上安静地忙活手里的事。,课堂适应、触觉探索
34,25,安静互动类,绘画套装-迷你绘画本,巴掌大的小本子，想画什么随手就画。心情不好又说不出来时，涂鸦是最好的情绪出口。,情绪表达、艺术治疗
