序号,箱号,类别名称,产品名称,教育目标与功能描述,能力标签
1,1,基础配对类,相同配对卡,把两张一模一样的真实图片配成一对。帮助孩子看清物品细节，理解“这两个是一样的”。,视觉辨识、同物匹配
2,1,基础配对类,对对碰游戏卡,在两张卡片里找出相同的小图案，先找到再说出来。帮助孩子练习专心看、快速找和轮流游戏。,视觉搜索、选择性注意、规则意识
3,1,基础配对类,雪糕配对,照着提示卡，把雪糕棒按顺序插到正确位置。帮助孩子记住先后顺序并学会照样摆放。,视觉序列、工作记忆、仿摆
4,2,基础配对类,颜色分类杯,看着题卡选择正确颜色的杯子，再按顺序叠起来。帮助孩子认识颜色、照图操作并保持专注。,颜色认知、序列仿摆、手眼协调
5,2,基础配对类,影子配对游戏,把彩色物品和它的黑色影子配在一起。帮助孩子学会只看外形也能认出物品。,轮廓辨识、视觉匹配
6,3,物品认知类,日常生活用品卡,看真实照片认识杯子、背包、被子等生活用品。练习“这是什么”“用来做什么”，把学到的词用到生活里。,物品命名、词汇理解、生活泛化
7,3,物品认知类,茶具套餐,用茶壶、茶杯和点心玩请客游戏。帮助孩子认识物品用途，练习按顺序操作、轮流和说礼貌用语。,象征游戏、动作序列、社交互动
8,4,物品认知类,蔬菜卡,看图片认识常见蔬菜，练习说名称、颜色和形状。还可以和真实蔬菜配一配。,类别词汇、指认命名、图物匹配
9,4,物品认知类,蔬菜切面配对,把蔬菜的外皮和切开后的里面配成一对。帮助孩子理解同一种蔬菜从外面和里面看会不一样。,部分整体、视角转换、视觉推理
10,4,物品认知类,仿真蔬菜,摸一摸、拿一拿仿真蔬菜，练习认名称、分种类和玩做饭。帮助孩子把图片里的知识迁移到实物。,实物认知、触觉探索、概念迁移
11,5,物品认知类,水果卡,看图片认识常见水果，练习说名称、颜色、大小和味道。也可以与真实水果配对。,类别词汇、属性描述、图物匹配
12,5,物品认知类,果皮果肉配对,把水果的外皮和切开后的果肉配起来。帮助孩子从不同样子认出同一种水果。,部分整体、特征辨识、视觉匹配
13,5,物品认知类,仿真水果,拿着仿真水果认名称、比颜色和大小，还能玩买水果或做果盘。帮助孩子在操作中记得更牢。,实物认知、属性分类、生活泛化
14,6,物品认知类,动物卡,看图片认识不同动物，练习说它们叫什么、住在哪里、会怎么叫。帮助孩子把动物知识连起来。,动物认知、词汇表达、语义关联
15,6,物品认知类,仿真动物模型,拿动物模型来配图片、分种类、排场景和讲故事。帮助孩子从平面图片过渡到立体实物。,图物匹配、类别分类、象征游戏
16,7,物品认知类,交通工具,看图片认识汽车、火车等交通工具，练习说名称、在哪里行驶、有什么用途。,交通认知、功能理解、生活词汇
17,7,物品认知类,交通工具,用车辆、轨道、红绿灯和建筑搭一个小城市。帮助孩子理解交通场景、规划路线并讲出发生的事情。,空间建构、情境理解、规划叙事
18,8,人物与身体类,人物职业卡,看图片认识医生、警察、厨师等职业。练习说他们在哪里工作、会做什么。,职业认知、社会常识、词汇表达
19,8,人物与身体类,职业场所工具配对,把职业人物和正确的工作地点、工具贴在一起。帮助孩子理解“谁在哪里，用什么做工作”。,语义关联、分类推理、情境理解
