序号,箱号,类别名称,产品名称,教育目标与功能描述,核心能力标签
1,1,手部力量与基础抓握,多彩泥套件,捏一捏揉一揉，把泥巴变出各种形状。既练手指力气，软软的手感还能让孩子发脾气时心情变好。,手指力量、情绪调节
2,1,手部力量与基础抓握,捏捏乐套件,使劲捏这个软球，看着它变形又变回来。孩子手痒想动时玩这个，既解压又能锻炼手掌的抓握力。,抓握力量、解压专注
3,2,手部力量与基础抓握,扭扭乐,拿在手里不停地扭来扭去，怎么扭都顺手。上课坐不住时玩这个，能让焦躁的手安静下来，集中精神。,手指灵活、缓解焦虑
4,2,手部力量与基础抓握,柔感粒按握盒,用手指使劲按压盒子里的颗粒，像揉面团一样。专门帮握笔没劲、写字手抖的孩子练手劲，打好基础。,握笔力量、书写准备
5,2,手部力量与基础抓握,流动感官调控板,晃动板子看里面的液体流来流去，非常漂亮。孩子烦躁时盯着看，心情马上变好，还能锻炼手腕灵活。,视觉追踪、情绪安抚
6,3,视动整合,块趣叠萌盒,把奇形怪状的积木叠高高，倒了也不怕。训练孩子手要稳、眼要准，锻炼手眼配合和空间想象力。,手眼协调、空间感知
7,4,视动整合,钓鱼乐,拿着鱼竿瞄准，要把晃动的小鱼钓上来。这需要手特别稳，眼睛盯着不放，还能学着轮流玩游戏。,手部稳定、视觉专注
8,5,视动整合,拼装拾取组,用手捡起石头排排队或者叠起来，手感很舒服。教孩子按颜色大小分类，在玩耍中学会数学逻辑。,精细抓握、逻辑分类
9,6,视动整合,晶彩搭组,彩色透明积木在阳光下特别美，孩子喜欢拿起来看。用三个手指捏着搭城堡，锻炼抓握和辨别颜色。,三指抓握、颜色认知
10,7,视动整合,电子迷宫,拿着笔走迷宫，碰到边就会响，很刺激。逼着孩子手不能抖、心不能急，极度锻炼专注力和控笔能力。,控笔训练、抗干扰
11,7,视动整合,趣味闯关游戏组,拨开关、按按钮，像操作机器一样带球闯关。手指动个不停，脑子也得跟着转，锻炼手脑配合和逻辑。,指尖操作、逻辑思维
12,8,视动整合,视觉追踪鱼,鱼儿转来转去，眼睛要紧紧盯着它，看准时机一把抓住。专门训练孩子眼睛追视能力和反应速度。,视觉追踪、手眼反应
13,8,视动整合,彩虹叠叠乐,底座是摇晃的，往上叠圈圈可不容易。孩子必须控制好手劲，轻轻放才不会倒，锻炼耐心和控制力。,力度控制、挫折耐受
14,9,视动整合,萌趣小镇,把磁铁贴片拿起来贴在背景板上，拼出小镇故事。用手指捏贴片很练手，还能让孩子讲讲发生了什么。,指尖精细、情境叙述
15,3,视动整合,视觉追踪靶,哪里亮灯点哪里，速度越来越快。像打地鼠一样刺激，训练孩子眼睛看得到、手指跟得上的反应能力。,快速反应、手眼协调
16,10,视动整合,磁力画板,用磁力笔吸着珠子走，像写字一样运笔。既能画画又能练握笔姿势，让孩子以后写字手不累、线条直。,运笔控制、书写预备
17,11,精准控制与平衡协调,拓扑球,把彩珠在球的轨道里推来推去，手感很好。这能锻炼手指的灵活度，也是孩子思考时的解压神器。,手指分化、情绪解压
18,11,精准控制与平衡协调,狡猾的鱼,两手端着盘子晃动，眼睛盯着看，控制珠子在路径中滚动不掉出来。训练身体平衡和协调。,双手协作、身体平衡
19,12,精准控制与平衡协调,综合平衡游戏平台,小心翼翼抽出一根棍子，不能碰倒其他的。这需要屏住呼吸、手指轻轻捏，锻炼极度的耐心和手稳。,精细控制、专注耐心
20,13,精准控制与平衡协调,叠叠高,从积木塔里抽一块出来再叠上去，惊险又刺激。孩子得控制冲动慢动作操作，锻炼抗挫折能力和手稳。,手部稳定、抗挫折
21,14,精准控制与平衡协调,协调反应训练器,看着棍子掉下来，瞬间伸手抓住。这能训练孩子精神高度集中，眼睛和手配合得像闪电一样快。,快速反应、视觉捕捉
22,14,精准控制与平衡协调,眼疾手快游戏组,棍子随机掉下来，看准了赶紧接住。让走神的孩子立马精神起来，极高强度地锻炼反应速度和专注力。,动态视力、快速反应
23,15,工具使用与协调,多功能操作台,像修理工一样拧螺丝、用扳手。需要手腕转动和手指用力，锻炼孩子使用工具的能力和动手解决问题。,工具使用、手腕旋转
24,16,工具使用与协调,面条操作台,用筷子夹起“面条”放到碗里，模拟做饭。专门教孩子怎么拿筷子、怎么用力，以后吃饭不用喂。,筷子使用、三指捏取
25,17,工具使用与协调,逻辑工坊台,一只手拿螺丝，一只手拿起子，两手配合组装齿轮。让孩子明白机械原理，锻炼双手协作和逻辑思维。,双手协作、机械逻辑
26,18,工具使用与协调,指趣动作游戏,用镊子把小毛球夹进试管里，按颜色分类。锻炼大拇指和食指的配合，为拿笔写字锻炼虎口力量。,镊子使用、虎口稳定
27,19,工具使用与协调,电动百变齿轮游戏,用电动钻头把齿轮装好，一按开关全转起来。强烈的震动反馈让手感很棒，锻炼空间搭建和因果认知。,空间建构、因果推理
28,20,工具使用与协调,喂食游戏,用夹子夹起食物喂给小动物吃。让孩子在过家家中练习手指控制，顺便认识动物吃什么，培养爱心。,工具使用、生活认知
29,21,工具使用与协调,夹珠子游戏,珠子圆溜溜的很滑，想夹起来可不容易。逼着孩子手指用力要准、注意力要集中，为自己吃饭打基础。,精细控制、生活自理
30,22,工具使用与协调,情景模拟-交流辅具,按下按钮就能说话，结合图片表达想要什么。帮手部动作不灵活、无法说话的孩子轻松表达需求。,沟通辅助、自我表达
31,23,双侧协调与生活技能,生活操作板,拉拉链、扣扣子、系鞋带，板子上全都有。专门训练两只手怎么配合，解决孩子穿衣服慢、不会系的难题。,生活自理、双手协作
32,24,双侧协调与生活技能,多彩女孩,给立体的娃娃穿衣服、系扣子。比平面的板子更真实，让孩子在玩耍中学会怎么给自己穿衣服。,穿衣训练、动作泛化
33,25,双侧协调与生活技能,多彩瓢虫,可爱的瓢虫身上有各种扣子和拉链。孩子喜欢抱着玩，不知不觉就学会了系扣子，提升生活自理能力。,扣件操作、自理能力
34,26,双侧协调与生活技能,毛毛虫穿板,拿着绳子穿过一个个小洞，像缝衣服一样。锻炼孩子看准洞口、两手配合拉绳，能让孩子静坐很久。,穿绳操作、静坐专注
35,22,双侧协调与生活技能,声音标尺,捏着滑块上下移动，代表声音大小。用手部动作帮孩子理解什么是“大声”和“小声”，学会控制音量。,音量控制、捏取操作
37,27,训练卡,训练卡,跟着卡片上的图示，做动作。把复杂的穿衣、写字动作拆解开来教，轻松带着孩子练。,视觉提示、家庭指导
